Instance,Objective_value,Run_time,Solution_status,Opt_gap,num_off_lines,off_lines,num_off_lines_leaf,off_lines_leaf,inst_ind
pglib_opf_case588_sdet__api,389283.11,3974.665086,OPTIMAL,0.01%,6,"Any[(446, 468), (299, 321), (105, 106), (491, 492), (39, 40), (40, 41)]",0,Any[],40
pglib_opf_case793_goc__api,NaN,10800.5639,TIME_LIMIT, , , , , ,41
pglib_opf_case1354_pegase__api,1502166.79,10800.54242,TIME_LIMIT,0.82%,13,"Any[(915, 1328), (1319, 1211), (1081, 694), (1016, 652), (706, 995), (1060, 418), (1133, 1142), (923, 956), (1045, 740), (1054, 896), (640, 978), (1036, 633), (1211, 715)]",0,Any[],42
pglib_opf_case1888_rte__api,NaN,10800.50749,TIME_LIMIT, , , , , ,43
pglib_opf_case1951_rte__api,NaN,10800.49408,TIME_LIMIT, , , , , ,44
pglib_opf_case2000_goc__api,NaN,10800.902,TIME_LIMIT, , , , , ,45
pglib_opf_case2312_goc__api,496817.5,10800.82647,TIME_LIMIT,26.31%,0,Any[],0,Any[],46
pglib_opf_case500_goc,453851.98,3512.713084,OPTIMAL,0.00%,0,Any[],0,Any[],61
pglib_opf_case588_sdet,307165.26,10800.2626,TIME_LIMIT,0.05%,12,"Any[(445, 468), (116, 119), (128, 129), (446, 468), (565, 577), (112, 123), (487, 495), (491, 492), (502, 523), (319, 329), (63, 64), (104, 105)]",0,Any[],62
pglib_opf_case793_goc,256772.03,10800.43268,TIME_LIMIT,0.01%,9,"Any[(723, 724), (146, 147), (580, 582), (502, 503), (759, 776), (340, 343), (119, 120), (169, 170), (627, 628)]",0,Any[],63
pglib_opf_case1354_pegase,1239314.7,10800.63089,TIME_LIMIT,0.06%,0,Any[],0,Any[],64
pglib_opf_case1888_rte,NaN,10800.68933,TIME_LIMIT, , , , , ,65
pglib_opf_case1951_rte,NaN,10800.6578,TIME_LIMIT, , , , , ,66
pglib_opf_case2000_goc,970466.83,10800.57588,TIME_LIMIT,57.77%,0,Any[],0,Any[],67
pglib_opf_case2312_goc,NaN,10800.67257,TIME_LIMIT, , , , , ,68
